影片名称,票房
战狼2,56.83亿
流浪地球,46.41亿
红海行动,36.51亿
唐人街探案2,33.98亿
美人鱼,33.86亿
我不是药神,31.00亿
速度与激情8,26.71亿
西虹市首富,25.48亿
捉妖记,24.40亿
速度与激情7,24.26亿
复仇者联盟3：无限战争,23.91亿
捉妖记2,22.37亿
羞羞的铁拳,22.14亿
疯狂的外星人,22.01亿
海王,20.12亿
变形金刚4：绝迹重生,19.77亿
前任3：再见前任,19.27亿
毒液：致命守护者,18.71亿
功夫瑜伽,17.49亿
